ticker,event_date,broker,action,rating_from,rating_to,rating_from_num,rating_to_num
MMM,2026-09-25,Wells Fargo,init,,Equal-Weight,,3.0
MMM,2026-09-25,Bernstein,up,Underperform,Market Perform,4.0,3.0
MMM,2026-07-23,Mizuho,main,Neutral,Neutral,3.0,3.0
MMM,2026-07-22,UBS,main,Buy,Buy,2.0,2.0
MMM,2026-07-22,Bernstein,main,Underperform,Underperform,4.0,4.0
MMM,2026-07-22,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2026-07-22,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2026-07-17,JP Morgan,up,Neutral,Overweight,3.0,2.0
MMM,2026-07-16,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2026-06-10,Bernstein,init,,Underperform,,4.0
MMM,2026-04-22,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2026-04-22,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2026-04-13,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2026-04-01,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2026-04-01,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2026-01-21,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2026-01-21,Deutsche Bank,main,Hold,Hold,3.0,3.0
MMM,2026-01-21,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2026-01-21,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2026-01-21,Morgan Stanley,main,Equal-Weight,Equal-Weight,3.0,3.0
MMM,2026-01-16,JP Morgan,down,Overweight,Neutral,2.0,3.0
MMM,2025-12-08,Deutsche Bank,down,Buy,Hold,2.0,3.0
MMM,2025-12-04,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2025-10-22,UBS,main,Buy,Buy,2.0,2.0
MMM,2025-10-22,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2025-10-22,Morgan Stanley,up,Underweight,Equal-Weight,4.0,3.0
MMM,2025-10-22,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2025-10-22,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2025-10-15,JP Morgan,main,Overweight,Overweight,2.0,2.0
MMM,2025-10-09,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2025-10-06,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2025-07-21,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2025-07-09,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2025-07-01,Wells Fargo,main,Overweight,Overweight,2.0,2.0
MMM,2025-05-30,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2025-05-16,JP Morgan,main,Overweight,Overweight,2.0,2.0
MMM,2025-04-23,RBC Capital,main,Underperform,Underperform,4.0,4.0
MMM,2025-04-23,Barclays,main,Overweight,Overweight,2.0,2.0
MMM,2025-04-23,Citigroup,main,Neutral,Neutral,3.0,3.0
MMM,2025-04-14,Citigroup,main,Neutral,Neutral,3.0,3.0
AOS,2026-07-31,Citigroup,main,Neutral,Neutral,3.0,3.0
AOS,2026-07-31,Stifel,main,Buy,Buy,2.0,2.0
AOS,2026-07-20,Stifel,main,Buy,Buy,2.0,2.0
AOS,2026-06-10,Oppenheimer,main,Outperform,Outperform,2.0,2.0
AOS,2026-05-15,JP Morgan,down,Neutral,Underweight,3.0,4.0
AOS,2026-05-04,Citigroup,main,Neutral,Neutral,3.0,3.0
AOS,2026-05-04,DA Davidson,main,Neutral,Neutral,3.0,3.0
AOS,2026-05-01,JP Morgan,main,Neutral,Neutral,3.0,3.0
AOS,2026-05-01,Baird,main,Neutral,Neutral,3.0,3.0
AOS,2026-05-01,Oppenheimer,main,Outperform,Outperform,2.0,2.0
AOS,2026-04-14,Stifel,main,Buy,Buy,2.0,2.0
AOS,2026-04-13,Goldman Sachs,main,Sell,Sell,5.0,5.0
AOS,2026-04-13,Citigroup,main,Neutral,Neutral,3.0,3.0
AOS,2026-02-02,DA Davidson,main,Neutral,Neutral,3.0,3.0
AOS,2026-01-30,Citigroup,main,Neutral,Neutral,3.0,3.0
AOS,2026-01-30,Stifel,main,Buy,Buy,2.0,2.0
AOS,2026-01-30,Baird,main,Neutral,Neutral,3.0,3.0
AOS,2025-07-28,UBS,main,Neutral,Neutral,3.0,3.0
AOS,2025-07-28,Oppenheimer,main,Outperform,Outperform,2.0,2.0
AOS,2025-07-25,Stifel,main,Buy,Buy,2.0,2.0
AOS,2025-07-25,Baird,main,Neutral,Neutral,3.0,3.0
AOS,2025-07-21,Stifel,main,Buy,Buy,2.0,2.0
AOS,2025-06-24,JP Morgan,init,,Neutral,,3.0
AOS,2025-04-30,Stifel,main,Buy,Buy,2.0,2.0
AOS,2025-04-30,Baird,main,Neutral,Neutral,3.0,3.0
AOS,2025-04-16,Stifel,main,Buy,Buy,2.0,2.0
AOS,2025-04-14,Citigroup,main,Neutral,Neutral,3.0,3.0
