ticker,panel,cap_tier
MMM,US,large
AOS,US,large
ABT,US,large
ABBV,US,large
ACN,US,large
ADBE,US,large
AMD,US,large
AES,US,large
AFL,US,large
A,US,large
APD,US,large
ABNB,US,large
AKAM,US,large
ALB,US,large
ARE,US,large
ALGN,US,large
ALLE,US,large
LNT,US,large
ALL,US,large
GOOGL,US,large
GOOG,US,large
MO,US,large
AMZN,US,large
AMCR,US,large
AEE,US,large
AEP,US,large
AXP,US,large
AIG,US,large
AMT,US,large
AWK,US,large
AMP,US,large
AME,US,large
AMGN,US,large
APH,US,large
ADI,US,large
AON,US,large
APA,US,large
APO,US,large
AAPL,US,large
AMAT,US,large
APP,US,large
APTV,US,large
ACGL,US,large
ADM,US,large
ARES,US,large
ANET,US,large
AJG,US,large
AIZ,US,large
T,US,large
ATO,US,large
ADSK,US,large
ADP,US,large
AZO,US,large
AVY,US,large
AXON,US,large
BKR,US,large
BALL,US,large
BAC,US,large
BAX,US,large
BDX,US,large
BRK-B,US,large
BBY,US,large
TECH,US,large
BIIB,US,large
BLK,US,large
BX,US,large
XYZ,US,large
BE,US,large
BNY,US,large
BA,US,large
BKNG,US,large
BSX,US,large
BMY,US,large
AVGO,US,large
BR,US,large
BRO,US,large
BF-B,US,large
BG,US,large
BXP,US,large
CHRW,US,large
CDNS,US,large
CPT,US,large
COF,US,large
CAH,US,large
CCL,US,large
CARR,US,large
CVNA,US,large
CASY,US,large
CAT,US,large
CBOE,US,large
CBRE,US,large
CDW,US,large
COR,US,large
CNC,US,large
CNP,US,large
CF,US,large
CRL,US,large
SCHW,US,large
CHTR,US,large
CVX,US,large
CMG,US,large
CB,US,large
CHD,US,large
CIEN,US,large
CI,US,large
CINF,US,large
CTAS,US,large
CSCO,US,large
C,US,large
CFG,US,large
CLX,US,large
CME,US,large
CMS,US,large
KO,US,large
CTSH,US,large
COHR,US,large
COIN,US,large
CL,US,large
CMCSA,US,large
FIX,US,large
COP,US,large
ED,US,large
STZ,US,large
CEG,US,large
COO,US,large
CPRT,US,large
GLW,US,large
CPAY,US,large
CTVA,US,large
CSGP,US,large
COST,US,large
CRH,US,large
CRWD,US,large
CCI,US,large
CSX,US,large
CMI,US,large
CVS,US,large
DHR,US,large
DRI,US,large
DDOG,US,large
DVA,US,large
DECK,US,large
DE,US,large
DELL,US,large
DAL,US,large
DVN,US,large
DXCM,US,large
FANG,US,large
DLR,US,large
DG,US,large
DLTR,US,large
D,US,large
DPZ,US,large
DASH,US,large
DOV,US,large
DOW,US,large
DHI,US,large
DTE,US,large
DUK,US,large
DD,US,large
ETN,US,large
EBAY,US,large
ECHO,US,large
ECL,US,large
EIX,US,large
EW,US,large
ELV,US,large
EME,US,large
EMR,US,large
ETR,US,large
EOG,US,large
EQT,US,large
EFX,US,large
EQIX,US,large
ERIE,US,large
ESS,US,large
EL,US,large
EG,US,large
EVRG,US,large
P,US,large
ES,US,large
EXC,US,large
EXE,US,large
EXPE,US,large
EXPD,US,large
EXR,US,large
XOM,US,large
FFIV,US,large
FDS,US,large
FICO,US,large
FAST,US,large
FRT,US,large
FDX,US,large
FDXF,US,large
FERG,US,large
FIS,US,large
FITB,US,large
FSLR,US,large
FE,US,large
FISV,US,large
FLEX,US,large
F,US,large
FTNT,US,large
FTV,US,large
FOXA,US,large
FOX,US,large
BEN,US,large
FCX,US,large
GRMN,US,large
IT,US,large
GE,US,large
GEHC,US,large
GEV,US,large
GEN,US,large
GNRC,US,large
GD,US,large
GIS,US,large
GM,US,large
GPC,US,large
GILD,US,large
GPN,US,large
GL,US,large
GDDY,US,large
GS,US,large
HAL,US,large
HIG,US,large
HAS,US,large
HCA,US,large
DOC,US,large
HSIC,US,large
HSY,US,large
HPE,US,large
HLT,US,large
HD,US,large
HONA,US,large
HON,US,large
HRL,US,large
HST,US,large
HWM,US,large
HPQ,US,large
HUBB,US,large
HUM,US,large
HBAN,US,large
HII,US,large
IBM,US,large
IEX,US,large
IDXX,US,large
ITW,US,large
ILMN,US,large
INCY,US,large
IR,US,large
PODD,US,large
INTC,US,large
IBKR,US,large
ICE,US,large
IFF,US,large
IP,US,large
INTU,US,large
ISRG,US,large
IVZ,US,large
INVH,US,large
IQV,US,large
IRM,US,large
JBHT,US,large
JBL,US,large
JKHY,US,large
J,US,large
JNJ,US,large
JCI,US,large
JPM,US,large
KVUE,US,large
KDP,US,large
KEY,US,large
KEYS,US,large
KMB,US,large
KIM,US,large
KMI,US,large
KKR,US,large
KLAC,US,large
KHC,US,large
KR,US,large
LHX,US,large
LH,US,large
LRCX,US,large
LVS,US,large
LDOS,US,large
LEN,US,large
LII,US,large
LLY,US,large
LIN,US,large
LYV,US,large
LMT,US,large
L,US,large
LOW,US,large
LULU,US,large
LITE,US,large
LYB,US,large
MTB,US,large
MPC,US,large
MAR,US,large
MRSH,US,large
MLM,US,large
MRVL,US,large
MAS,US,large
MA,US,large
MKC,US,large
MCD,US,large
MCK,US,large
MDT,US,large
